Profile by Address
00000000 ( 40.06%:   2115) Address 0
00011008 (  0.00%:      0) WinMainCRTStartup
00011078 (  0.00%:      0) _cinit
000110d8 (  0.00%:      0) exit
000111b8 (  0.00%:      0) _exit
000111c4 (  0.00%:      0) _cexit
000111d4 (  0.00%:      0) _c_exit
000111e4 (  0.00%:      0) Output
000112b0 (  0.00%:      0) main2
000115c8 (  0.00%:      0) WinMain
00011604 (  0.00%:      0) speedtest
000117c8 (  0.00%:      0) Profile_dump
00011978 (  0.42%:     22) Profile_init
00011a54 (  0.00%:      0) oggpack_eop
00011a68 (  0.00%:      0) oggpack_bytes
00011a98 (  1.84%:     97) oggpack_bits
00011ad4 (  1.55%:     82) oggpack_look
00011bf8 (  0.97%:     51) oggpack_adv
00011c80 (  0.00%:      0) oggpack_readinit
00011cb8 (  0.02%:      1) oggpack_read
00011e4c (  0.02%:      1) _ilog
0001271c (  0.02%:      1) _book_maptype1_quantvals
0001279c (  0.00%:      0) vorbis_book_clear
000127d0 (  1.08%:     57) vorbis_book_unpack
00012fd8 (  0.00%:      0) vorbis_book_decode
00012ff0 (  7.61%:    402) decode_map
00013230 (  0.00%:      0) vorbis_book_decodevs_add
000132f8 (  0.00%:      0) vorbis_book_decodev_add
000133b0 (  0.32%:     17) vorbis_book_decodev_set
000134a4 (  4.30%:    227) vorbis_book_decodevv_add
00013578 (  0.00%:      0) vorbis_dsp_restart
000135e0 (  0.00%:      0) vorbis_dsp_create
00013694 (  0.04%:      2) vorbis_dsp_destroy
000137e4 (  0.04%:      2) vorbis_dsp_pcmout
00013910 (  0.00%:      0) vorbis_dsp_read
00013950 (  0.00%:      0) vorbis_packet_blocksize
000139d0 (  0.02%:      1) vorbis_dsp_synthesis
00013dd0 (  0.00%:      0) floor0_free_info
00013ddc (  0.00%:      0) floor0_info_unpack
00013eec (  0.00%:      0) floor0_memosize
00013ef8 (  0.00%:      0) floor0_inverse1
00014054 (  0.00%:      0) vorbis_lsp_to_curve
000146b8 (  0.00%:      0) floor0_inverse2
0001474c (  0.04%:      2) floor1_free_info
00014804 (  0.04%:      2) floor1_info_unpack
00014e94 (  0.00%:      0) floor1_memosize
00014e9c (  0.49%:     26) floor1_inverse1
000151b8 (  4.89%:    258) floor1_inverse2
00015588 (  1.19%:     63) ogg_buffer_dup
00015a60 (  0.08%:      4) ogg_page_version
00015aa0 (  0.02%:      1) ogg_page_continued
00015ae0 (  0.02%:      1) ogg_page_bos
00015b20 (  0.00%:      0) ogg_page_eos
00015b60 (  0.11%:      6) ogg_page_granulepos
00015c28 (  0.15%:      8) ogg_page_serialno
00015c68 (  0.00%:      0) ogg_page_pageno
00015ca8 (  0.00%:      0) ogg_page_packets
00015d0c (  0.00%:      0) ogg_sync_create
00015d60 (  0.00%:      0) ogg_sync_reset
00015d90 (  0.11%:      6) ogg_sync_destroy
00015de8 (  0.13%:      7) ogg_sync_bufferin
00015ea4 (  0.08%:      4) ogg_sync_wrote
00015f00 (  0.11%:      6) ogg_page_release
00015f40 (  2.90%:    153) ogg_sync_pageseek
00016260 (  0.00%:      0) ogg_sync_pageout
000162a8 (  0.00%:      0) ogg_stream_create
000162cc (  0.08%:      4) ogg_stream_destroy
0001636c (  0.21%:     11) ogg_stream_pagein
00016454 (  0.06%:      3) ogg_stream_reset
000164c8 (  0.00%:      0) ogg_stream_reset_serialno
000164e4 (  0.40%:     21) ogg_packet_release
000169e8 (  0.00%:      0) ogg_stream_packetout
000169f0 (  0.00%:      0) ogg_stream_packetpeek
000169f8 (  0.00%:      0) ogg_page_dup
